ukbench00000.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2,2047.85714844,-0.0793640758653,2045.85722656,2041.10048437,-0.414903060256,0.0546669262562,0.140106709783,0.131977634781,1.461818046,2038.01532031,2037.87246875,0.679203572419,0.316463087558,0.734941487076,0.101011308547,-0.0278689573286,0.909101776922,0.0669774934855,2.46965915301,0.56042683913,2038.01532031,2044.83594531,1.41926632158,2.41499222675,0.447237975826,0.404045234187,0.248101666116,-0.131977634781,-0.118776733289,0.0546669262562,0.619989859355,1.74734372039,0.475106933155,0.209288343306,-0.68617019533,2047.85714844,-0.0793640758654,0.600115757466,-0.655263861612,1.84835502893,0.177349593679,-0.819722139398,-0.288509824095,1.06973638941,0.868344898564,0.317456303461,-0.737230634919,1.02952657448,0.0546669262562,0.140106709783,1.02518882301,-0.559318582364,1.00032253335,0.0321117534492,0.111475829315,0.241311487293,-0.0591353781489,0.101011308547,-0.0278689573286,-0.702229356519,0.179319386894,-0.769800249124,-0.131977634781,-0.118776733289
ukbench00003.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3631.17917969,-72.8469904951,2463.17824219,986.000585937,-315.588047933,44.969729813,120.219761998,96.1629483278,149.144850054,1157.74653125,1154.33013281,275.996398636,308.515961278,386.714638533,88.6629426231,-18.1463563375,380.157548507,99.417809675,435.735368705,307.423323648,990.126375,1895.84067969,178.570280506,430.435010372,205.282766093,231.981123849,106.502697312,-104.07809994,-94.4703319529,-12.2247422095,67.033914941,345.436898551,229.312041999,290.003989967,-144.697223745,3576.21442969,-108.122750838,215.264226299,131.358813996,336.433357625,136.748410845,125.932326098,-47.9354537213,26.6771005351,189.995291604,142.140546781,223.479197845,333.299957911,52.8575170089,160.632902563,297.930564748,87.3522340719,172.714511202,47.540259241,48.2538023287,124.397817287,119.288673828,127.528890074,-8.67203820267,45.8485758235,31.6620962494,6.13766832334,-123.120902766,-116.347383095
1,2048.0,0.0,2048.0,2048.0,1.62403445002e-15,0.0,0.0,-1.08765173185e-14,3.920765995e-15,2048.01090625,2048.0,0.0284569323597,1.08765173185e-14,-2.69556526352e-14,0.0,0.0,0.0,1.11653969041e-14,-0.0622807311763,-1.84100278132e-14,2048.59289063,2048.29644531,0.537234467998,1.08765173185e-14,-0.0692755892358,0.0,4.03419850702e-14,0.0,0.0,2.62582356217e-14,-1.67101973491e-14,0.411525098107,-2.8256646548e-14,0.387324466424,0.164696191343,2048.0,-3.94220434521e-14,-0.113444709696,0.188651657577,0.0,-0.793331511244,-2.62582356217e-14,-8.16457252717e-15,-1.97110217261e-14,0.925007918728,-8.86866535912e-15,0.0,-0.290749198945,0.0,3.34203946983e-14,-0.20961849072,-0.126053007601,-2.62582356217e-14,-0.627652075362,-5.31314164243e-14,-0.160435047032,0.0578336114758,0.0,2.23307938082e-14,0.273879756728,-0.106862579867,0.246485269053,0.0,-7.84153199001e-15
2,2048.0,0.0,2048.0,2048.0,1.67859933632e-14,0.0,0.0,3.07634366064e-14,-1.63291450543e-14,2045.5075625,2048.0,1.96119115196,-5.25164712435e-14,5.52122991832e-14,0.0,0.0,0.0,-8.06839701404e-14,-0.756896282775,0.0,2046.24314063,2047.12157031,-1.59193849907,0.0,-0.274667488943,0.0,-3.14733197111e-14,0.0,0.0,7.42695058805e-14,-5.39113052703e-14,0.52013228028,0.0,-1.14772369694,-0.488029386176,2048.0,-3.920765995e-15,0.336160487904,-0.559014461098,0.0,-0.062041680808,-2.1753034637e-14,6.12959889515e-14,-3.24806890004e-15,-0.468138122685,0.0,0.0,0.861550907369,-1.08765173185e-14,-1.11653969041e-14,0.621143588827,0.373521521194,0.0,0.493095411993,0.0,0.475402721128,-0.171373130603,0.0,1.67101973491e-14,-0.811563209032,0.316656255573,-0.730387591701,2.62582356217e-14,1.97110217261e-14
ukbench00004.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3695.0499375,-36.4145024186,3206.72763281,2576.65125781,-127.028636421,23.1567113841,60.2753583229,57.8499710327,156.605092744,2748.25635156,2728.35396094,108.871973421,94.2679917107,147.381655723,43.4994966544,-9.72527141086,154.21522153,25.3461088831,153.24469155,126.612836068,2644.11532812,3087.41634375,65.0481012036,158.004595259,80.3700373084,100.72231732,58.5790495126,-51.4168150133,-46.1286313632,-16.9394813904,13.8656657535,149.944826902,67.4430035422,125.743360599,-67.1797817756,3696.05819531,-35.8543443908,94.1910015288,31.5638381233,149.443211981,63.5902285172,62.872334161,-31.0708617057,7.53242629188,83.0475071196,51.4278937196,75.8566145731,141.819166389,22.7708678237,59.2864739015,152.862200326,14.2215738899,80.532946369,19.5314106025,20.0721344287,56.0148898042,24.926027747,42.786550718,-9.52857006955,-7.46404150311,10.618460249,-25.9846704819,-50.4853062569,-45.2902956308
1,2046.825125,-0.652725577519,2034.23066406,2030.09133594,-0.768047530904,0.4496051976,1.15230010631,2.43468962709,1.37032844301,2032.16645312,2032.7484375,0.799561099335,-0.185801502024,2.11189444009,0.830762079547,-0.229206742079,3.52495492557,0.988314838514,1.33812990868,1.28346342198,2029.81670313,2035.68017187,-0.594283124101,1.56084568689,1.99217310218,1.45190566837,1.41112275041,-1.08544296576,-0.976872860754,1.00848146371,1.15530788982,2.48457435531,1.87863358306,0.475402721128,-2.08825114533,2046.24314063,-0.976058772351,1.08765173185e-14,1.81901753732,2.0730492572,2.57310757949,1.19471403427,-0.152774152632,0.692162626097,2.13501234684,2.00230587106,2.48457435531,2.14763715365,0.672320975808,1.72310181474,2.90381133675,1.45825967242,1.59732889454,1.21194245369,0.888609258857,1.14772369694,1.79153701393,1.24228717765,-0.342746261206,-2.62582356217e-14,0.0876519285672,-0.717631998519,-1.62312641806,-1.4607751834
2,2049.02128125,0.567393462041,2051.89963281,2061.70521094,1.27645107725,-0.39082741416,-1.00165761715,-0.395932904343,-3.69323636081,2055.55620313,2056.29178125,-1.63459845206,1.88197619744,-1.31967643837,-0.722154897374,0.199242087932,-1.74734372039,-0.403123705444,-1.30234511399,-1.02298759365,2057.59876562,2054.98479688,-1.28396435074,-1.02085155234,-0.852305842332,-0.823166205921,-0.881779605086,0.943540843813,0.849164324989,-0.164000778769,0.356199126136,-0.404045234187,-0.995810015607,-0.0773107085248,-0.636642419664,2048.28570313,0.158728151731,2.1753034637e-14,0.0281249034772,-0.924177514467,-0.0654200501024,-0.325886794261,0.25390190562,-0.204308113749,0.102113599053,-0.786864247689,-0.404045234187,-0.578309539747,-0.109333852512,-0.280213419565,-1.64633241184,1.39139327664,-0.577471975197,0.102190189185,-0.306475121125,-0.186644561037,-1.44289248278,-0.202022617094,0.0557379146573,-5.25164712435e-14,0.908238396581,0.769003091613,0.263955269562,0.237553466577
ukbench00005.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3710.31296094,35.6399343002,2381.82871875,1740.67179687,487.160412588,-7.57847182886,-12.920970335,351.214563079,222.4338672,2043.88999219,1996.5601875,414.956016019,298.38489754,-203.511483834,20.5613007018,-18.4219335299,10.3565621308,93.8048505214,403.2375377,472.460220292,1811.29119531,2424.39720312,228.235404628,399.037005745,171.825989226,206.571291386,-87.5564987788,9.31918613084,-1.2089956839,88.7434279015,22.1015330712,61.4592078771,150.088949609,295.112833202,448.337188962,3688.2274375,44.9449854725,337.509209458,113.997993575,56.7600689957,-99.2800648481,76.6324584429,3.90746705095,-5.21223003789,-96.0311162925,-116.219198459,193.798970753,-201.484823294,1.01902239031,-18.5612988537,12.5609896183,13.5862466798,-90.890249468,-81.444304207,-81.5137825515,60.7477178784,-84.52663852,12.0593746968,-7.68073033423,107.023739163,-14.6631643516,-1.34709231696,7.85876998081,-4.96945307749
1,2045.94669531,1.46490224693,1969.04146094,1932.63124219,28.6654468388,-0.113444709696,-1.09075764945,20.0909472298,8.05939109515,1942.01933594,1945.54396094,25.6171757209,20.5147549039,-11.8669657347,1.45190566837,-0.980926975711,1.03266868693,6.11330992079,26.117873728,27.0571736218,1933.50967188,1967.27369531,12.2210607008,25.1928658093,8.07473416792,9.75952646384,-6.52975648624,0.273879756728,0.0776620141818,6.72939719313,0.235867150243,5.18647908467,6.96158768344,21.2382398582,28.5562764879,2041.84008594,4.17168865307,20.7009874744,6.97598708803,2.29037963125,-6.83725482517,3.41078756467,-2.67254971443,-1.05533478216,-4.75079417147,-5.98252371156,8.71914589357,-15.1151217355,-0.273879756728,-1.92558741179,1.86343076648,0.169672293083,-4.81307490265,-5.27474117401,-4.23766093948,2.43878930861,-4.6083579808,1.45190566837,-0.230157971782,6.03127869379,-1.37681791905,0.170044488839,-0.113444709696,-0.0658386765305
2,2049.16413281,-0.928528400855,2104.84208594,2134.00936719,-20.3022071937,0.336160487904,0.339348797714,-15.4080110984,-4.6347950871,2128.33155469,2125.26771094,-20.3631800187,-16.1123552182,6.38307950542,-0.82316620592,0.973788659823,0.419120971733,-4.86891776727,-19.6968389605,-19.4838077173,2133.86651562,2107.62022656,-10.0954817327,-19.2287008378,-5.6202449272,-8.04471517966,4.45104082439,-0.811563209032,0.448616728752,-4.32597486458,-0.216801283546,-3.19165351514,-5.10194217041,-17.3147458414,-19.9694342485,2051.49239844,-2.64422517066,-16.2742412337,-3.8141268672,-3.30774056123,5.29441130549,-2.25224861592,-0.632893795485,-0.138971234992,3.35943501088,5.08832424005,-6.70141669346,9.72939032766,0.811563209032,0.59907512307,-0.30303392564,0.300037371356,2.60253872811,3.62150984851,5.11939905428,-1.64486826001,5.02306949025,-0.82316620592,0.228483086344,-4.53015771771,0.406772547506,-0.186013184032,0.336160487904,-0.38031889852
ukbench00006.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3741.42644531,12.808171936,2159.67151562,1223.82452344,601.17502236,-3.81661251566,0.459164474721,394.334380397,246.979408923,1467.29088281,1481.918375,563.811495857,425.766539127,-348.044974577,1.7161757793,-5.70268064355,57.2094574523,138.421406832,521.320592216,551.797683676,1210.68967187,2112.16479687,231.153088915,513.49934066,212.666389627,253.868719329,-145.743764005,6.06773034279,-2.54689119063,158.852471048,28.8209575791,92.7086430231,210.345946889,392.038925289,549.799098302,3725.64984375,27.0285092775,452.002909185,141.920408033,86.9467668438,-126.730011399,94.898773995,-7.47965535639,-4.84894145631,-107.516482575,-114.919705917,254.892593375,-238.87409859,-13.8503415742,4.96159719057,35.9352108141,43.8866554048,-88.122628272,-97.8409804314,-78.7954599246,98.2167553176,-159.053955844,2.4291217157,-9.83142605862,141.646343417,-0.709533619811,-5.75202976727,10.9955241208,-5.7688948388
1,2046.825125,1.02113679065,2041.75283594,2042.58764062,2.09779746957,-0.610040244632,0.0751121384504,1.602190623,-1.12082090263,2045.81582031,2047.28714063,0.599527515484,-0.605609584705,-0.977766991379,0.411525098107,-0.696854716026,0.628855472159,1.63943409521,-1.32074725666,-0.689874537315,2045.21202344,2044.388125,-1.28551709398,-0.0637524912168,1.44307492139,2.08847302386,-0.501800899827,0.698118499335,-0.4301957747,0.0337137373606,1.59037186788,1.87114264981,1.29779179642,-1.03992438846,1.06113940695,2048.0,3.920765995e-15,0.857081786326,1.93018329415,-0.411525098107,-1.10067062764,-1.52252723981,1.12799831581,0.196642212259,-0.570681106046,1.3528187788,-0.605719822162,0.433754511102,-1.08765173185e-14,1.11653969041e-14,-0.411525098107,1.5325382564,-1.30988752275,0.159991940958,0.27449980594,-2.02329641593,0.532656510401,0.0,-1.67101973491e-14,-1.23753073042,-0.0498430567942,0.416935943232,2.62582356217e-14,-1.97110217261e-14
2,2049.02128125,-0.980327640658,2071.43189844,2081.25879687,-8.74167486641,0.866230135288,-0.702518634372,-6.07903447582,-2.136571864,2079.07338281,2077.17367187,-8.08160540526,-6.35542254729,4.74404387622,0.52013228028,-0.347922676393,-1.86343076648,-1.48524667724,-7.06066099901,-7.87192089601,2083.32267969,2071.00334375,-1.64854247782,-6.62965151049,-2.06208440781,-4.44901643033,1.85427585895,0.204182853123,-0.0920090547375,-3.31420255123,-0.366852327219,-2.06545338357,-2.0384582466,-5.06845661713,-8.60217827457,2048.0,-5.18304225115e-14,-6.14397509572,-2.34679758461,-0.52013228028,1.78213753206,-1.52707535439,0.437123126435,0.105331706528,2.47096827432,1.38314737921,-3.42382760732,2.08743501355,-1.08765173185e-14,-3.6098178538e-14,-0.52013228028,-0.195479196616,1.05713019957,0.780068591133,0.761447149185,-0.0431911695544,2.76738030104,0.0,-4.82907088113e-14,-0.488685509971,0.835719298229,-0.547444859999,2.62582356217e-14,-3.08006226161e-14
ukbench00007.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3720.24439062,20.7563503559,3203.58746875,3245.57711719,126.512448817,6.81936414232,-13.8574471292,82.9137222558,-31.7007852946,3325.61610156,3293.98903906,-47.1335178,104.915414026,15.4098665526,9.38005871457,-2.4484562928,26.3778561227,-18.3597650396,76.6081782723,-35.2834996212,3292.78496875,3270.30608594,-23.1420735967,114.564331728,-42.5916003792,100.373779968,15.9850480875,0.197664963453,-3.09904418921,18.9853756829,-21.0034410395,62.9604508163,-38.9164576832,99.8013657719,122.339518502,3707.77253125,27.649735984,58.2755140777,-55.4137491225,67.040158633,-21.1766803675,37.0506741333,1.92804798981,-6.70636767252,18.7681405538,-5.12321889931,73.0267290406,18.4010755504,1.78151395445,-10.9246888545,42.1076398197,-14.7143053707,29.1245321988,-6.70455709258,6.13294502235,19.2707174142,-0.86566698927,9.1553644863,-0.890876397791,17.7522505483,7.30674035763,5.12511814056,2.04120355634,-1.66938878613
1,2047.15428906,0.363911699171,2024.14559375,2024.69485937,4.60124901252,0.486519473784,-0.716614318625,5.39819051148,-3.04116473165,2024.10196875,2023.51998437,-2.17152885336,5.99372403503,2.08708727853,0.194194724055,0.359525558361,1.59982909243,-0.853095880539,6.82648005787,-3.2988902489,2023.22353906,2020.33542969,-2.43219264594,6.74404720439,-1.23737363521,4.45736912919,0.905043278899,-0.428412383792,0.200840785562,0.36980735742,0.401303604453,3.61889516631,-0.704097074605,5.94846247648,5.12799038254,2045.43014844,1.30828352789,3.60351229372,-1.54193857422,1.96508289055,0.378093426515,1.88816095604,0.52250383476,0.218523490339,0.652359004402,-0.369157355828,3.41698855892,2.36347187636,0.424238742608,-0.744784695643,3.03631099414,-0.563178398754,1.56901964076,0.589504045266,0.0341984295577,1.25128249638,-0.243571401862,1.0249568036,-1.46281873039,0.886297995916,-0.0877947498935,0.0792376082944,0.496595534936,0.651014653036
2,2040.66553906,4.18065273866,1882.51409375,1890.72698438,32.1730710537,1.77264234493,-4.54893534088,31.8954998512,-13.6475474523,1892.48384375,1891.74826562,-16.9032066829,40.5536343908,6.87671101198,2.90369532704,-0.472792954458,12.6550458687,-7.82540552314,39.9688978172,-14.9293676617,1892.62669531,1883.96392969,-14.4526245941,43.8174255191,-8.61961374734,21.5832302045,2.72765499741,-0.061931524699,-0.283722287392,5.427406722,0.261634464141,24.0678045598,-7.7869746599,40.2977937067,28.3981763077,2033.47392969,8.77298412163,30.7849047885,-10.7225301209,23.7496948966,3.22320617093,7.90829661385,-0.265862375028,1.93987316821,7.02452818648,4.95752149231,22.9265286907,7.31188372894,1.01574606215,-4.42591682643,15.3567185787,-0.180076218686,8.46401913871,4.25286436485,3.85283645198,4.30834499774,-0.173838129462,2.18154042967,-0.0973032298037,6.55975123511,3.04635839031,-0.4317520788,-0.530069647384,0.587089266797
ukbench00008.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3412.73896094,42.105120506,2304.17382812,2032.59816406,-124.059479044,298.51993358,-97.181458285,898.674104319,-101.022738546,1876.71297656,1876.00358594,42.4961094782,931.334240602,83.2838479612,-187.253703124,97.3469911744,-74.6626979187,27.7419093774,866.279487767,33.4947630723,2072.22603125,2301.13015625,-123.358695153,881.065421546,-3.36432059419,129.819551443,95.0061386706,79.0309426095,-74.7127966089,-129.500299724,115.790222086,246.054239222,-17.6049916062,922.250384707,-156.628443541,3330.80541406,51.0347293055,882.26328501,45.4573564513,239.54540969,-60.5254388799,-231.352068756,-1.81895457481,59.8976901103,-85.3958874183,-32.4990963311,113.390185023,131.584742389,354.973329691,-111.557780111,-44.7869281806,129.281575043,-108.138676991,-26.9418599247,-0.807956659634,-230.840493566,86.521582484,-194.904222846,95.4686685702,-141.107552587,58.265253663,-19.7788312812,63.9280431737,-52.9844712496
1,2049.16396875,0.0,2053.52339844,2057.59728906,0.971931708823,-1.07536690461,0.0,-3.55808756054,2.1713343724,2054.38001562,2053.79803125,0.248417393379,-5.14116675274,-0.975090426496,0.823050196214,0.0,1.03266868693,-1.65974255886,-3.79192009141,1.7241236431,2055.54398438,2055.28025781,2.22036334079,-4.04460703433,0.679481087302,-0.621143588827,-0.399428577822,-0.445431556416,0.0,-0.534807521367,-1.24740980361,-0.411525098107,-1.35656813762,-3.40459562498,1.81998588318,2048.86752344,-0.062382846911,-4.31848679105,-1.62109937512,1.24228717765,-1.03079633415,1.02013574555,0.407054396868,-0.289935110542,1.57901201166,-0.596994490606,-1.65381227576,-2.21780814017,-0.961922194912,0.35591719072,0.613431705495,-1.68254673024,-0.106395137575,-1.20934876242,-1.18600213812,1.41857696463,-0.034902323516,1.03266868693,-0.909971033819,-0.219839847271,0.5380485564,0.401944088801,-0.719311313143,1.3880886859
